Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2017-12-06,50.227909088134766,48.39217758178711,23.833454132080078,64.19158172607422,58.0011100769043,45.95924758911133,43.10986328125,71.69595336914062,89.2313232421875
2017-12-07,50.56824493408203,48.5335807800293,23.910749435424805,64.78392028808594,58.36067199707031,45.51569747924805,43.187408447265625,71.71339416503906,89.46238708496094
2017-12-08,50.56824493408203,48.97896957397461,24.05675506591797,65.06266784667969,58.637264251708984,45.636661529541016,43.32699203491211,72.51712036132812,89.8875732421875
2017-12-11,50.63632583618164,49.33244705200195,23.996639251708984,64.93199157714844,59.14435958862305,45.62860870361328,43.590660095214844,72.8228759765625,90.08164978027344
2017-12-12,50.64483642578125,49.19813537597656,24.23711395263672,65.00169372558594,59.12590789794922,45.636661529541016,42.846187591552734,73.11114501953125,90.11865234375
2017-12-13,50.78096008300781,49.12742614746094,23.936519622802734,65.25430297851562,59.14435958862305,45.89472198486328,42.962520599365234,73.36449432373047,90.19259643554688
2017-12-14,50.219398498535156,48.950679779052734,23.781917572021484,64.81005859375,59.070594787597656,45.6931266784668,42.908241271972656,72.62195587158203,90.46987915039062
2017-12-15,50.516944885253906,48.906558990478516,23.99590301513672,65.26722717285156,59.744285583496094,46.211463928222656,43.06555938720703,73.42095184326172,90.86124420166016
2017-12-18,51.26084899902344,49.28374481201172,24.211620330810547,65.73143768310547,60.27176284790039,46.18706512451172,42.58809280395508,73.4472885131836,91.67739868164062
2017-12-19,51.20100402832031,49.35490798950195,24.10807228088379,65.74893188476562,59.90161895751953,46.24394607543945,41.813194274902344,73.3595962524414,91.55684661865234
2017-12-20,51.21810531616211,50.05237579345703,24.06492805480957,65.96788787841797,59.88309860229492,46.16271209716797,41.48444366455078,73.1227798461914,91.38062286376953
2017-12-21,51.397666931152344,51.112762451171875,24.272022247314453,66.02045440673828,59.7628059387207,46.13019561767578,40.99134063720703,72.95611572265625,91.97418975830078
2017-12-22,51.59432601928711,51.21954345703125,24.202985763549805,66.03797149658203,59.72578811645508,46.20333480834961,41.053951263427734,72.71929931640625,91.7979736328125
2017-12-26,51.55157470703125,51.66787338256836,24.133956909179688,66.10804748535156,59.3278694152832,46.3089485168457,40.811309814453125,72.73686981201172,92.00202941894531
2017-12-27,51.61997604370117,51.4970703125,24.159852981567383,66.26570892333984,59.39264678955078,46.30082321166992,40.98351287841797,72.85963439941406,91.81651306152344
2017-12-28,51.850860595703125,51.57535934448242,24.254764556884766,66.3970718383789,59.49443435668945,46.22770690917969,41.21049880981445,72.96487426757812,92.0669174194336
2017-12-29,51.75679397583008,51.42589569091797,24.08219337463379,66.27445983886719,59.179805755615234,46.21957015991211,41.233985900878906,72.51757049560547,91.52899932861328
2018-01-02,52.49213790893555,52.272796630859375,24.090818405151367,66.6685791015625,59.91086196899414,45.935218811035156,40.85044479370117,73.33326721191406,92.92017364501953
2018-01-03,52.859825134277344,53.05565643310547,24.220245361328125,67.02767181396484,60.41058349609375,45.91897201538086,40.52953338623047,74.0349349975586,93.34678649902344
2018-01-04,53.321556091308594,53.37590026855469,24.44458770751953,67.51813507080078,60.71598815917969,46.0489616394043,40.19295883178711,74.14018249511719,93.6528549194336
2018-01-05,53.749088287353516,53.354557037353516,24.513612747192383,67.98233032226562,61.35449981689453,46.2520751953125,40.177303314208984,74.77171325683594,94.39480590820312
2018-01-08,53.82603454589844,53.6748046875,24.47909927368164,68.26260375976562,61.58585739135742,46.365814208984375,40.55300521850586,74.4997787475586,94.50611114501953
2018-01-09,53.74053192138672,53.53960037231445,24.668926239013672,68.70050811767578,61.42852783203125,46.30082321166992,40.153812408447266,75.37686920166016,94.69156646728516
2018-01-10,53.41560363769531,53.47553634643555,24.87601089477539,68.6917495727539,61.21567916870117,46.073333740234375,39.71549606323242,75.24532318115234,94.62666320800781
2018-01-11,54.11675262451172,54.5715446472168,24.996809005737305,69.56761932373047,61.465545654296875,46.008338928222656,39.56676483154297,75.56983947753906,96.16620635986328
2018-01-12,54.20226287841797,55.0981559753418,25.221155166625977,70.21570587158203,61.826446533203125,46.02458572387695,39.33978271484375,76.1487045288086,97.40896606445312
2018-01-16,53.569522857666016,54.40071487426758,25.152124404907227,69.58509063720703,61.58585739135742,46.235816955566406,39.25367736816406,76.52584838867188,96.71342468261719
2018-01-17,53.81747817993164,54.87752914428711,25.34195899963379,69.970458984375,62.51126480102539,46.763912200927734,39.49633026123047,77.26261138916016,97.17710876464844
2018-01-18,53.78328323364258,54.4291877746582,25.30743980407715,69.59385681152344,62.62229919433594,46.62579345703125,39.24586868286133,77.2801513671875,97.09366607666016
2018-01-19,54.10820388793945,54.35801315307617,25.488636016845703,69.79530334472656,62.74262237548828,47.14574432373047,39.12845993041992,77.56958770751953,97.93761444091797
2018-01-22,53.97995376586914,55.53228759765625,25.695720672607422,69.79530334472656,63.35337448120117,47.50321960449219,39.18324661254883,78.07830047607422,99.0227279663086
2018-01-23,53.97139358520508,55.446876525878906,25.721607208251953,69.8303451538086,63.6309928894043,47.34886169433594,39.55894088745117,77.70115661621094,99.85740661621094
2018-01-24,54.20226287841797,55.29743576049805,25.894176483154297,69.76903533935547,63.14054870605469,47.446353912353516,39.31629943847656,77.92919158935547,100.28404235839844
2018-01-25,54.561397552490234,54.863319396972656,25.842405319213867,69.83909606933594,63.02948760986328,47.47073745727539,39.92683029174805,78.59579467773438,100.10784149169922
2018-01-26,54.80080795288086,55.16221618652344,26.032228469848633,70.64486694335938,64.0289306640625,47.698211669921875,39.9503059387207,80.28858184814453,101.09091186523438
2018-01-29,54.176612854003906,54.32954406738281,25.92868995666504,70.17190551757812,63.44589614868164,47.51134490966797,39.4415397644043,80.06928253173828,100.81268310546875
2018-01-30,53.78328323364258,53.23358154296875,25.592178344726562,69.62013244628906,62.87218475341797,47.19449996948242,39.51197814941406,78.38529968261719,100.31187438964844
2018-01-31,53.82603454589844,53.269142150878906,25.66120719909668,69.8303451538086,63.34413528442383,46.975135803222656,39.9503059387207,77.27140045166016,99.98727416992188
2018-02-01,53.090675354003906,53.8171501159668,25.902803421020508,69.7077407836914,63.3996467590332,46.772037506103516,39.32413864135742,77.29769134521484,98.87434387207031
2018-02-02,51.69694519042969,51.568233489990234,25.333322525024414,68.30638122558594,61.52107238769531,45.878353118896484,39.042354583740234,76.21009063720703,97.9283218383789
2018-02-05,49.72175216674805,49.404747009277344,24.056303024291992,65.2059326171875,58.948448181152344,44.21286392211914,38.400508880615234,72.83332061767578,94.62666320800781
2018-02-06,51.34637451171875,49.796165466308594,24.496356964111328,66.3970718383789,60.641944885253906,44.7003173828125,37.82913589477539,73.6402359008789,97.04727172851562
2018-02-07,50.88462829589844,48.963497161865234,24.513612747192383,66.51966857910156,59.86460494995117,44.50533676147461,37.64908981323242,73.55252838134766,96.75049591064453
2018-02-08,49.09754943847656,47.48319625854492,23.435054779052734,63.95347595214844,57.384498596191406,43.54665756225586,37.2264289855957,71.00021362304688,92.8923568725586
2018-02-09,49.95261001586914,47.44762420654297,23.88373565673828,64.64537811279297,58.79111862182617,43.63602066040039,38.009151458740234,72.00887298583984,93.51375579833984
2018-02-12,50.96158981323242,48.22335433959961,24.220245361328125,65.6876449584961,59.846092224121094,44.08285903930664,38.29875946044922,72.68423461914062,94.78433990478516
2018-02-13,50.83333206176758,48.024078369140625,24.32378578186035,65.8365249633789,59.99415588378906,44.285972595214844,38.4709587097168,72.73686981201172,95.27589416503906
2018-02-14,51.517372131347656,48.721534729003906,24.90190315246582,66.6685791015625,61.095375061035156,44.2615966796875,38.04045867919922,73.5613021850586,96.79686737060547
2018-02-15,51.90214920043945,48.60053253173828,25.039958953857422,67.67578125,62.26138687133789,44.992794036865234,38.885807037353516,74.37700653076172,97.65941619873047
2018-02-16,51.71403884887695,48.47956085205078,25.005443572998047,67.69328308105469,62.168853759765625,45.171531677246094,39.23020553588867,74.91203308105469,97.1863784790039
2018-02-20,51.483158111572266,48.21623611450195,24.92778205871582,67.01016998291016,62.224388122558594,44.14786911010742,38.721431732177734,74.08757019042969,96.88963317871094
2018-02-21,51.30360794067383,47.4049186706543,24.96230125427246,67.02767181396484,61.826446533203125,43.61977767944336,38.2126579284668,73.78060150146484,96.75049591064453
2018-02-22,51.645626068115234,47.9244384765625,24.755216598510742,67.47433471679688,61.90049743652344,43.7335205078125,38.40833282470703,73.66656494140625,96.87106323242188
2018-02-23,52.406639099121094,48.963497161865234,25.126237869262695,68.03488159179688,63.19605255126953,44.15597915649414,39.41022872924805,74.84184265136719,98.22510528564453
2018-02-26,52.63750076293945,49.255279541015625,25.505891799926758,68.97203063964844,64.18622589111328,44.43220520019531,39.29281234741211,75.78914642333984,99.05055236816406
2018-02-27,51.91069412231445,48.614768981933594,25.26429557800293,68.10493469238281,63.538455963134766,43.84725570678711,38.6666374206543,74.99974060058594,96.95451354980469
2018-02-28,50.98723602294922,47.4974365234375,24.91053009033203,67.13276672363281,63.08500289916992,43.39229202270508,38.400508880615234,73.7981185913086,96.51863098144531
2018-03-01,50.46565246582031,47.42626190185547,24.47909927368164,65.8189926147461,62.03929901123047,43.2948112487793,38.40833282470703,72.62281799316406,95.47988891601562
2018-03-02,50.414337158203125,47.64689254760742,24.53950309753418,65.80152130126953,62.63156509399414,43.660404205322266,38.30658721923828,73.3595962524414,95.5726547241211
2018-03-05,51.0812873840332,48.15218734741211,24.884647369384766,66.58975219726562,63.27009963989258,44.04224395751953,39.08931350708008,74.02617645263672,96.71342468261719
2018-03-06,51.645626068115234,48.18063735961914,24.988183975219727,66.88752746582031,63.40890884399414,44.074737548828125,38.564884185791016,73.92090606689453,97.38116455078125
2018-03-07,51.457515716552734,47.81768798828125,24.945043563842773,66.8787841796875,63.76055145263672,43.6766471862793,38.27527618408203,74.2980728149414,96.72267150878906
2018-03-08,51.500274658203125,47.8034553527832,25.02269744873047,67.2291259765625,64.0381851196289,44.074737548828125,38.55706024169922,74.79801177978516,97.02873229980469
2018-03-09,52.432281494140625,48.71440124511719,25.62669563293457,68.70925903320312,65.25048065185547,44.35909652709961,38.6666374206543,75.87681579589844,98.53117370605469
2018-03-12,52.30402755737305,48.70017623901367,25.54041290283203,67.85971069335938,65.45405578613281,44.27784729003906,38.83100891113281,75.55229187011719,98.85577392578125
2018-03-13,52.09026336669922,48.351463317871094,25.25566864013672,67.52691650390625,64.70445251464844,44.2453498840332,38.9171142578125,75.6487808227539,98.1601791381836
2018-03-14,51.448974609375,48.0667839050293,24.970935821533203,66.79119873046875,64.64896392822266,43.79851531982422,39.31629943847656,75.2804183959961,98.03963470458984
2018-03-15,50.773460388183594,47.81768798828125,24.979555130004883,66.98387145996094,64.68596649169922,43.489784240722656,39.29281234741211,75.15760040283203,97.93761444091797
2018-03-16,50.77003479003906,48.244163513183594,25.001205444335938,67.34178161621094,64.61913299560547,43.50532150268555,39.637542724609375,75.15760040283203,97.83531188964844
2018-03-19,50.04045867919922,47.49873733520508,24.819345474243164,66.82295227050781,63.33808898925781,43.080474853515625,39.39299774169922,73.9429931640625,96.61679077148438
2018-03-20,49.98896789550781,47.90012741088867,24.879966735839844,67.05159759521484,63.310211181640625,42.957923889160156,39.211578369140625,74.04859161376953,97.19348907470703
2018-03-21,50.55545425415039,49.154422760009766,24.871307373046875,67.13072204589844,62.929622650146484,42.42687225341797,39.077484130859375,73.73173522949219,97.11907196044922
2018-03-22,49.044795989990234,48.150978088378906,23.953357696533203,64.91472625732422,61.30509567260742,42.07554626464844,39.25101089477539,71.61051940917969,95.05409240722656
2018-03-23,48.08348083496094,47.85710906982422,23.225919723510742,63.96500778198242,59.67127990722656,41.55267333984375,38.6988410949707,70.12306213378906,93.18447875976562
2018-03-26,49.07054901123047,48.71720886230469,23.979337692260742,65.51268768310547,61.93632888793945,42.14908218383789,39.10113525390625,71.5753173828125,95.93775939941406
2018-03-27,48.572723388671875,48.25849151611328,23.51169776916504,64.60694885253906,59.949771881103516,42.12458038330078,39.66119384765625,70.7303466796875,94.05879974365234
2018-03-28,47.95472717285156,47.319541931152344,23.55500030517578,64.3871078491211,59.55061340332031,42.70463943481445,39.64541244506836,71.10882568359375,92.9146728515625
2018-03-29,48.873130798339844,48.315834045410156,23.87541389465332,65.3280258178711,60.729549407958984,42.99877166748047,39.85839080810547,71.6457290649414,94.21692657470703
2018-04-02,47.808807373046875,47.348243713378906,23.347158432006836,63.98259735107422,59.28139114379883,41.9448356628418,39.55076599121094,70.0174331665039,91.55665588378906
2018-04-03,48.48690414428711,48.35883712768555,23.667577743530273,64.8707504272461,59.86622619628906,42.500389099121094,39.68486404418945,71.08242797851562,92.71936798095703
2018-04-04,48.80445861816406,48.29432678222656,23.918718338012695,65.15215301513672,60.70170211791992,43.162174224853516,39.77163314819336,72.0946273803711,94.42157745361328
2018-04-05,49.714298248291016,49.161590576171875,24.109235763549805,65.81167602539062,60.95235061645508,43.26837158203125,40.0871467590332,72.04180145263672,95.68660736083984
2018-04-06,48.50405502319336,48.272823333740234,23.529020309448242,63.99140548706055,59.4577751159668,42.82718276977539,39.77163314819336,70.30786895751953,93.6495361328125
2018-04-09,48.770137786865234,48.50218963623047,23.65892219543457,63.79794692993164,59.921932220458984,42.80269241333008,39.850502014160156,71.00320434570312,93.42628479003906
2018-04-10,49.77438735961914,50.107704162597656,24.01396942138672,64.77403259277344,61.39793014526367,42.90072250366211,39.54287338256836,72.20024108886719,94.56111145019531
2018-04-11,49.40530014038086,50.630924224853516,23.728199005126953,64.29917907714844,61.035888671875,42.81903076171875,39.4876594543457,71.61051940917969,94.27274322509766
